tract_geoid,NAME,state_fips,total_population,median_household_income
48029121903,Census Tract 1219.03; Bexar County; Texas,48,5546,114515
48029121904,Census Tract 1219.04; Bexar County; Texas,48,3218,107340
48029121905,Census Tract 1219.05; Bexar County; Texas,48,6555,107574
48029121906,Census Tract 1219.06; Bexar County; Texas,48,7021,86553
48029121908,Census Tract 1219.08; Bexar County; Texas,48,3484,135568
48029121909,Census Tract 1219.09; Bexar County; Texas,48,8945,94359
48029121910,Census Tract 1219.10; Bexar County; Texas,48,8088,98585
48029121911,Census Tract 1219.11; Bexar County; Texas,48,8690,132644
48029121912,Census Tract 1219.12; Bexar County; Texas,48,11393,116620
48029130200,Census Tract 1302; Bexar County; Texas,48,1630,40402
48029130300,Census Tract 1303; Bexar County; Texas,48,2646,33079
48029130401,Census Tract 1304.01; Bexar County; Texas,48,3650,46143
48029130402,Census Tract 1304.02; Bexar County; Texas,48,3837,21946
48029130500,Census Tract 1305; Bexar County; Texas,48,3717,29194
48029130600,Census Tract 1306; Bexar County; Texas,48,3645,33968
48029130700,Census Tract 1307; Bexar County; Texas,48,2515,21422
48029130800,Census Tract 1308; Bexar County; Texas,48,5226,27276
48029130900,Census Tract 1309; Bexar County; Texas,48,5759,47099
48029131000,Census Tract 1310; Bexar County; Texas,48,5578,41140
48029131100,Census Tract 1311; Bexar County; Texas,48,2708,34949
48029131200,Census Tract 1312; Bexar County; Texas,48,2763,38984
48029131300,Census Tract 1313; Bexar County; Texas,48,5373,45647
48029131401,Census Tract 1314.01; Bexar County; Texas,48,12023,80787
48029131402,Census Tract 1314.02; Bexar County; Texas,48,2914,61211
48029131503,Census Tract 1315.03; Bexar County; Texas,48,3407,49867
48029131504,Census Tract 1315.04; Bexar County; Texas,48,4178,69938
48029131505,Census Tract 1315.05; Bexar County; Texas,48,5681,74330
48029131506,Census Tract 1315.06; Bexar County; Texas,48,5653,63859
48029131507,Census Tract 1315.07; Bexar County; Texas,48,5753,51106
48029131601,Census Tract 1316.01; Bexar County; Texas,48,8213,107031
48029131606,Census Tract 1316.06; Bexar County; Texas,48,9226,94375
48029131608,Census Tract 1316.08; Bexar County; Texas,48,7401,61195
48029131609,Census Tract 1316.09; Bexar County; Texas,48,7863,73583
48029131610,Census Tract 1316.10; Bexar County; Texas,48,4913,73786
48029131612,Census Tract 1316.12; Bexar County; Texas,48,2225,87007
48029131614,Census Tract 1316.14; Bexar County; Texas,48,5029,62927
48029131615,Census Tract 1316.15; Bexar County; Texas,48,12992,67445
48029131616,Census Tract 1316.16; Bexar County; Texas,48,7138,77060
48029131700,Census Tract 1317; Bexar County; Texas,48,1195,127625
48029131801,Census Tract 1318.01; Bexar County; Texas,48,3039,103214
48029131802,Census Tract 1318.02; Bexar County; Texas,48,7734,76711
48029140100,Census Tract 1401; Bexar County; Texas,48,1352,63179
48029140200,Census Tract 1402; Bexar County; Texas,48,2240,34095
48029140300,Census Tract 1403; Bexar County; Texas,48,3155,49191
48029140400,Census Tract 1404; Bexar County; Texas,48,3151,67650
48029140500,Census Tract 1405; Bexar County; Texas,48,3672,57304
48029140600,Census Tract 1406; Bexar County; Texas,48,2707,57778
48029140700,Census Tract 1407; Bexar County; Texas,48,4665,43765
48029140800,Census Tract 1408; Bexar County; Texas,48,5196,50995
48029140900,Census Tract 1409; Bexar County; Texas,48,1697,40281
48029141000,Census Tract 1410; Bexar County; Texas,48,3422,34973
48029141101,Census Tract 1411.01; Bexar County; Texas,48,3794,27253
48029141102,Census Tract 1411.02; Bexar County; Texas,48,3972,28990
48029141200,Census Tract 1412; Bexar County; Texas,48,6973,41382
48029141300,Census Tract 1413; Bexar County; Texas,48,6494,37817
48029141402,Census Tract 1414.02; Bexar County; Texas,48,5499,70893
48029141403,Census Tract 1414.03; Bexar County; Texas,48,4466,47121
48029141404,Census Tract 1414.04; Bexar County; Texas,48,4496,42102
48029141600,Census Tract 1416; Bexar County; Texas,48,4997,80112
48029141700,Census Tract 1417; Bexar County; Texas,48,6855,75212
48029141800,Census Tract 1418; Bexar County; Texas,48,4788,55083
48029141900,Census Tract 1419; Bexar County; Texas,48,5875,82031
