GEO_ID,NAME,B01003_001E,B19013_001E,state,county,tract,state_fips
1400000US48027022900,Census Tract 229; Bell County; Texas,3981,32698,48,027,022900,48
1400000US48027023001,Census Tract 230.01; Bell County; Texas,6002,70197,48,027,023001,48
1400000US48027023002,Census Tract 230.02; Bell County; Texas,3670,59113,48,027,023002,48
1400000US48027023103,Census Tract 231.03; Bell County; Texas,4744,41273,48,027,023103,48
1400000US48027023104,Census Tract 231.04; Bell County; Texas,2843,42323,48,027,023104,48
1400000US48027023109,Census Tract 231.09; Bell County; Texas,3440,61984,48,027,023109,48
1400000US48027023110,Census Tract 231.10; Bell County; Texas,3791,31910,48,027,023110,48
1400000US48027023111,Census Tract 231.11; Bell County; Texas,5368,67159,48,027,023111,48
1400000US48027023112,Census Tract 231.12; Bell County; Texas,4442,53829,48,027,023112,48
1400000US48027023113,Census Tract 231.13; Bell County; Texas,4679,46392,48,027,023113,48
1400000US48027023114,Census Tract 231.14; Bell County; Texas,4547,50712,48,027,023114,48
1400000US48027023115,Census Tract 231.15; Bell County; Texas,5899,98455,48,027,023115,48
1400000US48027023116,Census Tract 231.16; Bell County; Texas,6356,80225,48,027,023116,48
1400000US48027023117,Census Tract 231.17; Bell County; Texas,5097,63438,48,027,023117,48
1400000US48027023118,Census Tract 231.18; Bell County; Texas,7050,77991,48,027,023118,48
1400000US48027023201,Census Tract 232.01; Bell County; Texas,1260,65625,48,027,023201,48
1400000US48027023202,Census Tract 232.02; Bell County; Texas,4605,53814,48,027,023202,48
1400000US48027023203,Census Tract 232.03; Bell County; Texas,1856,56385,48,027,023203,48
1400000US48027023204,Census Tract 232.04; Bell County; Texas,4032,56563,48,027,023204,48
1400000US48027023301,Census Tract 233.01; Bell County; Texas,5493,89351,48,027,023301,48
1400000US48027023302,Census Tract 233.02; Bell County; Texas,3942,94219,48,027,023302,48
1400000US48027023402,Census Tract 234.02; Bell County; Texas,5726,80000,48,027,023402,48
1400000US48027023404,Census Tract 234.04; Bell County; Texas,4986,87292,48,027,023404,48
1400000US48027023405,Census Tract 234.05; Bell County; Texas,3368,101050,48,027,023405,48
1400000US48027023406,Census Tract 234.06; Bell County; Texas,3871,94167,48,027,023406,48
1400000US48027023500,Census Tract 235; Bell County; Texas,1973,21216,48,027,023500,48
1400000US48027980001,Census Tract 9800.01; Bell County; Texas,161,-666666666,48,027,980001,48
1400000US48027980002,Census Tract 9800.02; Bell County; Texas,0,-666666666,48,027,980002,48
1400000US48027980003,Census Tract 9800.03; Bell County; Texas,0,-666666666,48,027,980003,48
